dist_rank,dist_to_lake,site_no,parcel_id
118,5901.596868450641,12881,2953567
119,5908.029031692966,12358,1922913
120,5950.734865787573,7816,1923321
121,5979.7357372440065,7975,2953476
122,5993.459085567108,13030,2953365
123,6016.358521610683,4116,2952912
124,6081.795065326164,26263,2952907
125,6083.713317741905,20642,2954000
126,6122.562862768599,6641,1923325
127,6132.126770808988,11859,2954283
128,6192.049807069878,11840,2952915
129,6195.761106292987,9393,2953865
130,6196.558217783008,4127,2952906
131,6196.881456325445,13139,2953855
132,6201.206842054411,10431,1922055
133,6209.561805196185,9012,2954014
134,6229.851068663158,9394,2953560
135,6249.179079484615,5313,1923474
136,6270.795965189735,7622,2954101
137,6282.40314409324,5276,1923374
138,6337.725199219243,4126,2952920
139,6349.971870726763,7853,2952721
140,6395.125115492695,7862,1923063
141,6446.900334007162,23302,2953361
142,6449.662269150284,5254,2953324
143,6458.186208082521,6710,2953348
144,6471.471000676348,5340,2952719
145,6480.3993655813065,20634,2954009
146,6493.065673225077,12857,2953738
147,6494.4401036120225,10432,1922087
148,6545.828465792448,20633,2954102
149,6568.050581684477,3970,1922849
150,6617.8194051105675,11831,2952716
151,6678.276760563255,12865,1922022
152,6689.531812192283,20641,2954008
153,6697.345997422507,11813,2952903
154,6712.754669930322,5277,1922894
155,6754.056197250278,13136,2953562
156,6773.182505726022,9231,1922900
157,6777.746388908503,7804,2953582
158,6779.603144566117,12831,1923382
159,6792.365218217827,12856,2953587
160,6813.266367501751,9185,1923422
161,6828.950809150512,5249,1923293
162,6840.406001153772,6715,2952909
163,6840.647842667867,11849,2954117
164,6843.527297354535,12908,2953495
165,6882.591297177516,6577,1923425
166,6901.036097465213,13029,2952908
167,6903.838873295179,12836,2953319
168,6908.62387555123,25305,2953329
169,6980.805192315388,11830,2952714
170,6998.629285318192,13032,2954107
171,7026.571143215536,5441,2952922
172,7037.068942794002,12866,1921891
173,7046.146630552566,11659,2953579
174,7046.460127866034,6504,1922086
175,7093.379916170018,13009,1922012
176,7141.598084265459,7879,2953491
177,7217.976338122945,9134,1921838
178,7235.283742701529,8945,1922794
179,7277.366317088304,4045,1922796
180,7277.507567709883,10548,2954217
181,7295.161271601758,5434,2952911
182,7328.184817108087,5341,2957165
183,7367.294241187698,12747,2953576
184,7404.522958996068,13956,2953499
185,7451.470517057959,8794,2953335
186,7518.856285623414,6732,2953507
187,7570.322627114926,25361,1922800
188,7656.777832214519,7554,1923365
189,7665.898511092248,5442,2957157
190,7668.248069251533,9122,1921890
191,7691.067521827502,4023,2956727
192,7713.263554402552,9212,2952718
193,7745.839376376587,5297,1922761
194,7749.801388665803,7950,1922049
195,7756.884393171678,10225,1922716
196,7819.83949583071,7644,1922764
197,7852.476618041361,7990,2953503
198,7858.868723431736,4028,2957170
199,7886.320341304821,9214,2957177
200,7909.460003824862,10479,2952711
201,7914.937692091318,7801,1921781
202,7936.044495468525,13841,1923304
203,7961.608282947561,21154,1923053
204,7963.102347424627,5019,1922766
205,8044.827955614517,5256,1921859
206,8047.637039758901,5279,1922759
207,8051.559292148407,7895,1922767
208,8167.465814764606,24123,1922684
209,8191.444319220343,12868,1922732
210,8228.231374196088,5275,1923054
211,8261.404094116857,7802,1921780
212,8263.050312600984,23288,1922841
213,8310.746592161244,11418,1922731
214,8441.009461574136,7573,1921749
215,8521.780443456279,7845,1922639
216,8648.96343236152,25762,1921775
217,8746.957358654528,26443,1922698
218,8770.848441799188,3971,1923438
219,8774.864481315768,21923,1922855
220,8783.868474896566,7570,1923052
221,8801.105698422796,6514,1921885
222,8839.574598300964,11640,1922757
223,8842.93768196272,21038,1922701
224,8865.03420920133,12843,1921830
225,8875.939315264033,11647,1921778
226,8916.270917690663,9113,1922809
227,9008.351429281704,5278,1922699
228,9018.042312551343,12830,1922691
229,9133.510127750009,12901,1923299
230,9212.628760351578,5018,1922654
231,9395.5124451987,10355,1921803
232,9399.709489057941,10386,1921776
233,9406.837828129683,13932,1961964
234,9426.466234698351,12699,1922566
235,9510.759105530326,10461,1922572
236,9531.01214665635,6295,1921657
237,9557.48099826816,6500,1922694
238,9623.087369230105,6526,1922811
239,9629.083217072346,24229,1922807
240,9670.174697068966,22429,1922916
241,9733.547014312739,3911,1922605
242,9769.035704761487,12833,1922733
243,9787.447760244817,6574,1922906
244,9841.11390811401,4795,1921751
245,9910.551221110683,10385,1921719
246,9978.064919326298,10353,1922609
247,9985.323395806385,13854,1922540
248,9992.894786585837,5267,1921654
249,10079.24740454291,10433,1922760
250,10112.881252522644,6556,1922770
251,10113.834733626163,3909,1922656
252,10126.793891793686,3910,1922554
253,10238.622642420762,3912,1922693
254,10283.353131739534,10410,1922536
255,10336.50653457966,6513,1921714
256,10388.752372248024,13853,1962436
257,10402.714206255847,3932,1921715
258,10419.288119302817,5308,1921628
259,10507.399062793591,10352,1922532
260,10592.329599418237,6516,1921624
261,10594.303686049407,10356,1922455
262,10634.503860775589,3931,1921691
263,10685.945299382649,5281,1921620
264,10833.871428432427,6530,1922346
265,10855.075794858629,10351,1922577
266,10865.529950652675,9173,1922633
267,10876.689874710573,8874,1921596
268,10944.236956903767,12952,1922425
269,10967.627978893177,11641,1922418
270,11115.112094063306,11639,1922653
271,11146.038446503597,7840,1922427
272,11182.520578124604,12894,1924381
273,11231.251295937036,12832,1921617
274,11262.513492299246,9114,1921505
275,11287.550365875744,26449,1921619
276,11350.37725488612,12895,2957094
277,11367.493821851676,7886,1922373
278,11394.155304332686,7817,1965110
279,11397.121905647036,9194,1921467
280,11403.990518539156,26366,1922338
281,11422.818098600623,11711,1922342
282,11548.99400527028,10349,1961796
283,11599.090735422871,11658,1921550
284,11628.947191771633,3972,1922543
